WS_ID,Data_Readiness_Current,Productive_Eligibility,SWING_U3K_FROZEN_Member,P0_Eligible_Current,Reason
WS:ISIN:INE002A01018,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE009A01021,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE018A01030,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE019A01038,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_STANDARD
WS:ISIN:INE021A01026,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_STANDARD
WS:ISIN:INE027H01010,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_STANDARD
WS:ISIN:INE030A01027,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE038A01020,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE040A01034,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE044A01036,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE047A01021,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE059A01026,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,LOW_LIQUIDITY_EXCEPTION_POOL
WS:ISIN:INE062A01020,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE066A01021,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE075A01022,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,LOW_LIQUIDITY_EXCEPTION_POOL
WS:ISIN:INE081A01020,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE089A01031,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_STANDARD
WS:ISIN:INE090A01021,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE101A01026,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE123W01016,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,LOW_LIQUIDITY_EXCEPTION_POOL
WS:ISIN:INE154A01025,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE155A01022,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,PASS_PREFERRED
WS:ISIN:INE192A01025,READY_FOR_ELIGIBILITY_RECOMPUTE,False,False,NOT_COMPUTED_IN_V0_38,LOW_LIQUIDITY_EXCEPTION_POOL
